anchor,positive
Tom is also musically talented.,"Tom is musically talented, too."
I made that dress by myself.,I made this clothing myself.
"Needless to say, he is right.",It is obvious that he is right.
Has something happened to Tom?,Did something happen to Tom?
The doors are closed.,The doors are shut.
We sat in total silence.,We sat in complete silence.
He was sent to jail for the robbery.,He was thrown in prison for robbery.
The train was overturned.,The train flipped over.
I feel very happy.,I feel so uplifted.
I don't want you to tell him.,I hope you don't tell her about it.
Why do I even care?,Why should we care?
Don't touch that button!,Don't touch the button.
Will it be fine weather tomorrow?,Will it be sunny tomorrow?
Tom is very impatient.,Tom is too impatient.
Did you really tell him that?,Did you really tell her that?
Tom walked out of the room.,Tom left the room.
"Are you happy, Tom?","Are you satisfied, Tom?"
"If I were in your place, I would lend him a hand.",If I were you I'd give him a hand.
I'm not prepared to do that yet.,I'm not yet prepared to do that.
What were they doing?,What were we doing?
"Tom is trustworthy, isn't he?","Tom is reliable, isn't he?"
Pollution has a disastrous effect on the ecology of a region.,Pollution is bringing devastating consequences for the regional ecosystem.
I am going to introduce you to the rest of the crew.,I'll introduce you to the rest of the shipmates.
We've learned that that's OK.,We've learned that's OK.
I speak almost no French.,I hardly speak French at all.
He likes to cook for his family.,He likes cooking for his family.
She saw a tall man yesterday.,Yesterday you saw a big man.
Tom was sitting on the table.,Tom was sitting at the table.
Tom is twice as old as me.,Tom is twice my age.
The best salad you'll ever eat is the one they serve with their lunch special.,They offer the best salad in the world as a special side dish.
I don't plan to sit in the back.,I don't plan on sitting in the back.
She is usually at home on Sundays.,She's usually home on Sundays.
It's sad to see Mary so unhappy.,It hurts to see Mary suffer so.
Sami wasn't going to survive anyways.,Sami was not going to survive anyway.
I need a ladder.,I need the ladder.
I think he has something to do with that scandal.,I think he was involved in that affair.
They said that they felt manipulated.,They said they felt manipulated.
I like the way you think.,I like your thinking.
He went back to Japan.,She returned to Japan.
I help him.,I'm helping him.
The car turned right.,The car is turning right.
The main problem of the cafeteria is the quality.,The cafeteria's primary problem is its quality.
I jog twice a week.,I run two times per week.
I didn't like anyone there and no one there liked me.,I didn't like anybody who was there and nobody who was there liked me.
Tom is a hemophiliac.,Tom is a haemophiliac.
I don't want to disturb them.,I wouldn't want to bother them.
The housing situation seemed quite hopeless.,The housing situation shows no hope of improvement.
Dreams speak the truth.,Dreams tell the truth.
I am glad to have helped you last week.,I'm glad I was able to help you last week.
The problem is Tom's.,That's Tom's problem.
What would you like to do now?,What do you want to do now?
"Come in, the door's open.",Come in. The door is open.
I wish you could meet him.,I wish you could've met him.
"It being Sunday, I didn't get up early.",It was Sunday and I wasn't about to get up early.
"Disguising himself as a peasant, he crept into the castle town.",He disguised himself as a peasant and infiltrated the walled city.
I think that's a big mistake.,I think that's a huge mistake.
She seems to be excited.,She seems excited.
It is truly said that time is money.,Time is gold a true idiom.
I didn't know it before.,I didn't know that before.
Tom's dog has run away.,Tom's dog ran away.
Tom came clean.,Tom confessed everything.
Do you think Tom would let me do that?,Do you think Tom would allow me to do that?
I hope Tom doesn't win.,I hope Tom won't win.
I don't understand why anyone would do that.,I can't figure out why someone would do something like that.
They thought that they'd be late.,They thought they'd be late.
You know a few things about your family?,Do you know anything about your family?
What are you cross about?,What makes you so sad?
I'm ready to fight.,I'm ready for the fight.
These bananas went bad.,This banana went bad.
This word has two meanings.,This word has a double meaning.
Tom told me that he thought Mary was up.,Tom told me he thought that Mary was up.
Sami accepted Islam.,Sami embraced Islam.
I take my hat off to her for her effort.,I admire her efforts.
We sat in a ring.,We were seated in a circle.
He is clever in some ways.,He is wise in certain respects.
She got me by the hand.,She took my hand.
It's pretty obvious that he loves her.,It's pretty obvious that she loves him.
Why did she tell me that?,Why did she say that to me?
That couple was made for each other.,They were meant for each other.
He sat at the edge of the stream.,He sat next to the river.
Tom has fallen into the river.,Tom fell into the river.
I need to feed the dog.,I need to feed my dog.
Tom is happy to be here.,Tom is glad to be here.
Is this baby a he or a she?,Is this baby a boy or a girl?
Tom has been trying to win.,Tom is trying to win.
It was I who met him.,I'm the one who met him.
"As I entered the room, they applauded.","When I entered the house, they all applauded."
I am travelling.,I travel.
Let's ask a travel agent.,We will ask at a travel agency.
He is often taken for a student.,He's often mistaken for a student.
I'm going to have a heavy day.,It seems like I'm going to have a hard day.
Tom doesn't understand French.,Tom doesn't understand French at all.
Are there seedless watermelons?,Do seedless watermelons exist?
It is important to avoid having anyone absent from his assignment.,It is important that no one is allowed to slack off on their assigned work.
You should have done it earlier. It cannot be helped now.,You should've done it earlier. It can't be helped now.
Tom is probably planning to do that.,Tom is probably planning on doing that.
These are gifts.,Those are gifts.
I'll meet him some other time.,I'll meet her some other time.
Tom should be here.,Tom must be here.
I thought that she was pregnant.,I thought she was pregnant.
I feel as if I were dreaming.,It feels like a dream.
Shall I help you with washing-up?,Do you want me to help you wash the dishes?
The spell was broken and the pig turned into a man.,"The spell was broken, and the pig was again transformed into a man."
Two weeks have passed and I haven't seen you.,Already two weeks went by and I have not seen you.
"Turning the corner, you will find my house.","When you turn the corner, you'll find my house."
He was going to school.,She was on her way to school.
He belongs to the soccer club.,He is a member of the football club.
Tom is in there alone.,Tom is there alone.
Tom is a very smart boy.,Tom is a very clever boy.
I wrote a long letter to Tom.,I wrote Tom a long letter.
I'll pop in tomorrow morning.,I will come tomorrow morning.
He accommodated the traveler for the night.,He put the traveler up for the night.
He took on extra workers.,He hired some new workers.
Both Tom and Mary were worried.,Tom and Mary were both worried.
Tom must be nervous.,Tom has to be nervous.
Mr Grey did not enjoy his job.,Mr. Grey didn't enjoy his work.
