anchor,positive,negative
it is . that and collecting flicks with my dad . we have over 600 of them .,my dad and i own over 600 movies .,it is . that and collecting flicks with my dad . we have over six hundred and eight of them .
that sounds rewarding . i myself work as a bagger at a grocery store .,i work at a grocery store .,my job is on the line in a kitchen .
i can show you around if you come before i off to college .,i am about to go off to college at a very liberal school soon .,i graduated college a few years ago .
i am a baseball player .,i play for the baltimore orioles .,i am a nurse that deals with trauma situations .
they think iam wired because i do not like salad .,i cannot stand salads .,i can t stand salads .
that is a nice dog . i have a springer spaniel .,"i love animals , especially dogs .",i am not a dog person .
i like horses .,i am a horse person .,wild horses as possessions is not a good idea .
even though i like being around water i wish i learned how to swim .,water is not my friend .,i enjoy the water .
"ll , i mostly enjoy traveling though .",i like to travel .,i do not travel .
"i am good , just about to watch my fav tv show , rick and morty .",my favorite tv show is rick and morty .,my favorite tv show is friends .
"cool , sounds like you have the right job . i am a physical therapist and love it .","i work as a physical therapist , and my wife is a school nurse .",i am a barber .
very cool . i love italian food .,i am a lover of italian food .,eating snacks in the park is one of my favorite things .
tell me something about yourself . i am a vegan .,i eat a strictly vegan diet .,i am primarily a meat eater .
i hate my friends got me so fat .,my beer gut is so huge i haven t seen my feet in two years .,i should follow a stricter diet .
you can see me in the background in some movies .,i am an actor .,i work as a stand up comedian .
i teach at a school . art is my specialty .,i work at a school as an art teacher .,my career is that of a physical performer .
"that is cute . my girlfriend is pregnant , we do not have any pets .","in 12 weeks , i will be a parent .",my two dogs are the best friends a girl could have .
that is great ! back home in kentucky farmers markets and organic produce is important .,my parents live in kentucky .,my parents recently moved to florida .
"i will probably go into teaching , as my father teaches middle school . you ?","my father is a school teacher , he teaches middle school .",my father is a mechanic .
me either . too busy writing my first novel .,i enjoy writing .,i never learned how to write .
"ah okay , i love to sing when i am in the shower .",i love to sing in the shower .,i can t sing very well .
"my wife is a history teacher , she told me all about italy and rome and their culture .",my wife use to be a teacher .,i do not like animals .
"i work at the childrens library , working with kids .",i would like to have kids one day .,i am employed by the government .
i wish i had more time to cook . my only hobby other than swimming is reading .,i would enjoy having a dip in the pool .,i am afraid of drowning .
i want to sing professionally .,i want to be a singer .,i am studying to be a dentist .
i am trying to create my own startup company in the gaming industry .,i am currently unemployed .,i volunteer at my local animal shelter .
i see . i was so hungry after driving that 10 hour drive .,i like to drive for hours .,i cannot drive .
just finished grading some papers . i am a teacher .,i am an middle school teacher for 8th grade .,i am a chef .
trying to get an ebook together on dogs . i must learn all types .,i love canines .,i am not a dog person .
i live in wisconsin in the countryside . its so peaceful here .,i live in rural wisconsin .,"i live in portland , oregon ."
same here . i am living at home but going to school for music .,i dream of playing music for a living .,i would like to become an elementary school teacher .
horror movies are my favorite .,i enjoy horror novels .,my favorite movie is titanic .
i am married with 2 kids .,i have a wife and a 4 year old son .,i am currently single but i am ready to mingle .
"i am sorry . have your parents taught you about philosophy , i study it a umass .",i study philosophy at umass .,i went to the university of north carolina .
neither do the beastie boys . what do you do for a living .,my favorite band is the beastie boys .,my favorite band is nirvana .
i train dogs so not a worry for me .,i love big dogs .,i am not a dog person .
maybe i can focus on the gardening .,i like to grow plants .,i do not like gardening .
