anchor,positive
i just took a job at my local school . very excited about it !,i just accepted a job at the elementary school in my hometown .
yeah that can be tough if that is what you are used to .,i like to think about what it would be like to be an artist .
i am a general in a video game for a orcish army .,there i m a general of an orcish army .
"try to read books , to get you relaxed , i like harry potter books .",my favorite books are the harry potter books .
cool i miss the beach i visited one in cali this year .,i love the beach .
well i also want to dye my tips blue to match my nails .,my favorite color is blue .
i only watch ted talks .,i love to watch ted talks .
"i missed it , i was out free diving . it was so much fun .",i like free diving .
"maybe i will , not sure if you can become a pilot after lasik , i will check .",my dad is an airline pilot .
unfortunately i have been told i only have six more months to live .,my doctor told me i have six months to live .
"wow nice combination , i am eating pasta , italian is my favorite kind of food .",my favorite kind of food is italian .
"i like whoever drives a toyota , my favorite vehicle ! it is what i have !",i drive only toyota .
"thank you , i do . i also mountain bike , what do you do ?",i also like to mountain bike .
do you like to travel .,i know a lot about other places .
no but a grandson mikey who loves by death by chocolate cake .,my grandsons favorite type of cake is chocolate .
i am the parent to a single kid .,i am married with one child .
"ll i cant , a friend got me a car before .",my friend once bought me a car .
"i do not know , their grandmother is a lawyer , just so you know .",my mother is in law .
got ya . i have a moped i drive around .,i drive a moped .
i am still in high school . i got a d in biology .,i am in high school .
i would love to visit the pyramids .,seeing the globe is on my bucket list .
"of course i love to read , i am a school teacher .",many of my former students like to visit me .
haha . . . i love that . i enjoy dressing up to go out to the club too .,i enjoy dressing up to go out clubbing .
no not since by dad died back in high school .,my dad died when i was in high school .
i am a janitor it definitely drives me to drink .,i work as a janitor .
me too . it takes me an hour to get ready for work every day . how about you ?,i spend an hour getting ready in the morning .
i like dogs ! and i like hiking .,i enjoy hiking on glaciers .
www . . . puppies are so cute ! the library . . . huh . my job is mcdonald .,i work at mcdonald .
"interesting . i do not care for putin , to be honest . i do love strawberries though .",i like red berries .
that is nice i have more time on my hands since my wife left me .,my wife just left me .
"no , but i have fallen hard for a girl who has no idea .",i am in love with a girl who is unaware of it .
mine matches the flintstones hence my dogs name dino .,i like the flintstones .
"i am an artist , i just do whatever i can think of and just create .",i turn things into art .
"on a cruise ship , i get to watch the sun rise and then watch it set .",i wake early to watch the sun rise every day .
i de stress by painting my nails and coloring my hair ! got purple and platinum respectively ! ! !,my favorite color is purple .
work is tiring . i would love to travel the world instead .,i hope to travel the world one day .
i travel a lot and i make friends along the way .,traveling and making friends is something i find delightful .
i feel you . i really enjoy riding bikes with my personal trainer .,i have a personal trainer .
"italy is a great place to do that , but what is even better is yoga .",sometimes i go to yoga classes .
"are you a genuine person ? i am , so i must let you know something . . .",i am a very open and truthful person who takes things as they are .
"fighting is my hobby , have not lost a fight . i have a ninja .",i have never lost a fight .
"our pets would make a pair , lol cats and dogs .",i like cats .
only when i am skydiving which is often .,i skydive frequently .
wow . we just listen to radiohead when my husband is not home .,my favorite band is radiohead .
my step sister we are in a huge band .,my sister and i are in a grunge band .
i get hurt a lot i have many bills .,i have a lot of medical bills .
"i love dr pepper , but not fruit .","i like dr pepper and black jack gum , but not together ."
"i love chili corn dogs and cheesy hot dogs , but ink which i love more !",i can never decide between a chili corn dog and a cheesy hot dog .
yeah in my twenties . i just had sushi for the first time the other day . love it !,i am a fan of california rolls .
